,,,,,
,ID,Title,Mod,Tournament - Stage,Rank Range
,2689519,Hoshimachi Suisei & Amane Kanata - Tsukiakari [Moonlight] (Amateurre),NM1,Bundesländer Battle 2022 Qualifiers,1-∞
,2772466,m108 - * Crow Solace * [FOUR DIMENSIONS] (knowledgeking),NM2,Bundesländer Battle 2022 Qualifiers,1-∞
,1885112,KOTONOHOUSE - PRESS START! [!!!] (Nathan),NM3,Bundesländer Battle 2022 Qualifiers,1-∞
,3332588,Mitsukiyo - Rolling Beat [osu!ph Collab Expert] (too),NM4,Bundesländer Battle 2022 Qualifiers,1-∞
,3054838,RD-Sounds - Ano Hi Jibun ga Dete Yatsuketa Toki no Koto o Mada Oboeteiru Hito no Tame ni [CatJam] (Rumia-),HD1,Bundesländer Battle 2022 Qualifiers,1-∞
,3350321,Down - Luscent [Another] (Down),HD2,Bundesländer Battle 2022 Qualifiers,1-∞
,1155302,Primary - Awake [Closure] (Depths),HR1,Bundesländer Battle 2022 Qualifiers,1-∞
,2680275,Sakuzyo - Instinct [Circles] (Zelq),HR2,Bundesländer Battle 2022 Qualifiers,1-∞
,1066422,senya - Kanousei no Keshin [Mo's Insane] (Santtu),DT1,Bundesländer Battle 2022 Qualifiers,1-∞
,3140773,Nekrogoblikon - Killing Time (and Space) [Insane] (Gordon),DT2,Bundesländer Battle 2022 Qualifiers,1-∞
,,,,,
,2971670,Liella! - Dancing Heart La-Pa-Pa-Pa! [Xtreme] (caps),NM1,Bundesländer Battle 2022 Group Stage,1-∞
,3056724,Plum - Halloween Candystore [Trick or Treat] (knowledgeking),NM2,Bundesländer Battle 2022 Group Stage,1-∞
,2784412,Kaf - Montage [pkk's Extra] (Sparhten),NM3,Bundesländer Battle 2022 Group Stage,1-∞
,3437554,Eagle - S!ck [meine fette katze grey (sagt hallo)] (Shiguri),NM4,Bundesländer Battle 2022 Group Stage,1-∞
,2106506,Thousand Leaves - Temptation [Extra] (xept),NM5,Bundesländer Battle 2022 Group Stage,1-∞
,3064148,cYsmix - Abandoned Shrine Party [Icekalt's Extra] (Halfslashed),NM6,Bundesländer Battle 2022 Group Stage,1-∞
